Product Name,Price,Rating,Seller Name
N/A,N/A,N/A,N/A
N/A,999,4.3 out of 5 stars,LAPCARE Bolt I 10000mAh Powerbank | 22W PD Fast Charging | Transparent Design | LED Indicator | Type C & Dual USB Ports | Dynamic Display |Smart Chip Protection | Low Power Consumption Made in India
N/A,"1,249",4.0 out of 5 stars,LAPCARE Bolt Pro 20000Mah Transparent Power Bank | 22watt Type-C PD Fast Charging | Dual USB QC Port | Led Display | Multi Circuit Protection | Made in India
N/A,"1,298",4.1 out of 5 stars,"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Blue)"
N/A,"2,199",4.3 out of 5 stars,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)"
N/A,"1,099",4.7 out of 5 stars,"Kratos Legend Champ Power Bank 20000mAH, Fast Charging 22.5W, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge Power Bank for iPhone, Android & Other Phones, BIS Certified,Made in India"
N/A,"1,499",3.9 out of 5 stars,"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Blue)"
N/A,N/A,N/A,N/A
N/A,"2,199",4.3 out of 5 stars,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Blue|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)"
N/A,"1,099",3.8 out of 5 stars,"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Dark Blue)"
N/A,"1,499",3.9 out of 5 stars,"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap, Purple)"
N/A,"1,399",3.9 out of 5 stars,"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Strong Magnet, 22.5W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices, Premium Rubberized Coating (Aerosync Snap, Yellow)"
N/A,"1,699",4.1 out of 5 stars,"boAt Newly Launched Pocket Energyshroom PB400 Pro 20000mAh | Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports,2-Way 22.5W Fast Charging, Pass-Through Charging(Carbon Black)"
N/A,"1,498",3.9 out of 5 stars,"Portronics Luxcell MagClick 10k 10000 mAh 15W Magnetic Wireless Fast Charging Power Bank Premium Finish, 22.5 Wired Output Compatible with iPhone 12 & Above,Type C Smartphones,Tablets(Dark Grey)"
N/A,N/A,N/A,N/A
N/A,"1,499",3.8 out of 5 stars,"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)"
N/A,"1,298",3.7 out of 5 stars,"pTron Dynamo Arc 10000mAh 22.5W USB Fast Charging Nano Magnetic Power Bank, 15W Magnetic Wireless Charging, 20W PD/Type C Fast Charging, 3 Outputs/1 Input & Multiple Layers of Protection (Black)"
N/A,999,3.9 out of 5 stars,"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Green)"
N/A,"1,469",3.9 out of 5 stars,Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Nano Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black)
N/A,"1,699",4.1 out of 5 stars,"boAt Newly Launched Pocket Energyshroom PB400 Pro 20000mAh | Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports,2-Way 22.5W Fast Charging, Pass-Through Charging(Emerald Green)"
N/A,"1,499",3.9 out of 5 stars,"Ambrane Magsafe Wireless 10000Mah Fast Charging Power Bank,Strong Magnet,22.5W Output for iPhone 12 Back Cover & Above,Android & Other Qi Enabled Devices + Magnetic Ring (Aerosync Snap,Silver)"
N/A,"1,699",4.1 out of 5 stars,"boAt Newly Launched Pocket Energyshroom PB400 Pro 20000mAh | Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports,2-Way 22.5W Fast Charging, Pass-Through Charging(Steel Blue)"
N/A,599,3.8 out of 5 stars,"ZEBRONICS MB10000S15 Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Dual USB Output, PD 3.0 Type C, Built in Protections, Percentage Indicator, Made in India"
N/A,"1,299",4.2 out of 5 stars,"Xiaomi Power Bank 4i 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android and Apple, Tablets, Earbuds, Watches etc"
N/A,"1,699",4.0 out of 5 stars,"Ambrane 20000mAh Rugged Compact Powerbank, Slim & Lightweight with 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 20k, Black)"
N/A,518,3.7 out of 5 stars,"ZEBRONICS MB10000S4 Power Bank, 10000 mAh, 12W, Dual USB Output, Type C & Micro USB Input, Built in Protections, Percentage LED Display, Included USB to Type C Cable, Made in India"
N/A,"1,499",4.5 out of 5 stars,"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Green)"
N/A,"2,199",4.3 out of 5 stars,"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Olive Green|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)"
N/A,"1,449",4.1 out of 5 stars,"Portronics Luxcell Bind 20k 20000mAh Powerbank with 22.5W Fast Charging, in-Built Type C PD(Input & Output) /8 Pin Cable, LED Indicator, USB-A Mach Output, Compatible with Smartphones,Tablets(Black)"
N/A,"1,699",4.3 out of 5 stars,"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)"
N/A,999,4.0 out of 5 stars,"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Carbon Black)"
N/A,"1,799",4.3 out of 5 stars,"Xiaomi Pocket Power Bank pro 10000mAh 33W Super Fast Charging PD|Compact|Power Delivery|QC 3.0|Type C Input & Output|Triple Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches etc (MI)"
N/A,"3,099",4.2 out of 5 stars,"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More"
N/A,799,4.2 out of 5 stars,"LAPCARE Smart Tank VI 20000mAh Fast Charging Power Bank | Dual USB Port | Led Indicator | Compact & Slim Design | Made in India | Type C and 2 USB Ports, 12W Fast Charging Power Bank"
N/A,"1,149",N/A,LAPCARE Orange 10000mAh Powerbank | 22.5w PD Fast Charging | Digital Display | Dual Output(Type C PD + USB) | Type C Input | Wake Up Button & Smart Chip Protection | Made in India (Black)
N/A,"1,149",4.5 out of 5 stars,"LAPCARE Orange I 10000 mAh 22.5W Fast Charging Power Bank with Digital Display, Dual Output(Type C PD + 2 USB), Type C Input, Wake Up Button & Smart Chip(Black)"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
